db,field_key,base_concept,method,concept_raw,src_table,unit_observed,unit_recovery_rate,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,src_file,pattern,dbs_covered,dbs_missing,verdict,note
mimic-iv,50963,ntprobnp,unspecified,ntprobnp,mimiciv.hosp.labevents,pg/mL,1.0,mixed,35.2918,2730.2062,49531.4858,4948,3930,0.1081,measurement/cardiac_marker.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
eicu,Vital Signs|O2 Admin Device|O2 Admin Device,o2_device,unspecified,o2_device,eicu.nurseCharting,,0.0,categorical,0.344,95.0238,100.0,975703,22867,0.2074,pivoted/pivoted-o2.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,227287,o2_flow_additional,unspecified,o2_flow_additional,mimiciv.icu.chartevents,L/min,1.0,numeric,0.0,4.0,42.7429,20674,4532,0.1247,measurement/oxygen_delivery.sql,P1,mimic-iv,eicu+mimic-iii,,
eicu,Invasive|PA|PA Diastolic,padiastolic,unspecified,padiastolic,eicu.nurseCharting,,0.0,numeric,4.861,18.3247,40.8265,193676,2917,0.0265,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|PA|PA Diastolic,padiastolic,unspecified,padiastolic,eicu.nurseCharting,,0.0,numeric,5.6858,18.0,39.455,26675,2289,0.0208,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Pain Score/Goal|Pain Goal,pain_goal,unspecified,pain_goal,eicu.nurseCharting,,0.0,numeric,0.0,0.0,5.0374,690965,21436,0.1944,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Pain Score/Goal|Pain Score,pain_score,unspecified,pain_score,eicu.nurseCharting,,0.0,numeric,-0.3421,0.0,10.0,1734121,44967,0.4078,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|PA|PA Mean,pamean,unspecified,pamean,eicu.nurseCharting,,0.0,numeric,10.4209,25.2298,52.4693,181703,2666,0.0242,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|PA|PA Mean,pamean,unspecified,pamean,eicu.nurseCharting,,0.0,numeric,10.553,24.6988,51.8894,26828,2298,0.0208,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|PAOP|PAOP,paop,unspecified,paop,eicu.nurseCharting,,0.0,numeric,5.9051,17.142,43.7314,3456,417,0.0038,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|PAOP|PAOP,paop,unspecified,paop,eicu.nurseCharting,,0.0,numeric,5.0,19.1327,41.32,484,173,0.0016,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|PA|PA Systolic,pasystolic,unspecified,pasystolic,eicu.nurseCharting,,0.0,numeric,16.9874,35.9962,80.6672,193531,2919,0.0265,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|PA|PA Systolic,pasystolic,unspecified,pasystolic,eicu.nurseCharting,,0.0,numeric,16.3962,34.9577,80.1377,26640,2278,0.0207,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,224696,plateau_pressure,unspecified,plateau_pressure,mimiciv.icu.chartevents,cmH2O,1.0,numeric,10.5376,19.9997,36.1665,139946,16022,0.4409,measurement/ventilator_setting.sql,P1,mimic-iv,eicu+mimic-iii,,
eicu,Invasive|PVR|PVR,pvr,unspecified,pvr,eicu.nurseCharting,,0.0,numeric,5.1204,115.4668,1482.1991,10721,819,0.0074,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|PVR|PVR,pvr,unspecified,pvr,eicu.nurseCharting,,0.0,numeric,0.0,115.6,784.4304,369,141,0.0013,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|PVRI|PVRI,pvri,unspecified,pvri,eicu.nurseCharting,,0.0,numeric,29.3625,231.2704,2804.3858,4364,296,0.0027,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|PVRI|PVRI,pvri,unspecified,pvri,eicu.nurseCharting,,0.0,numeric,0.0,228.0,979.18,363,138,0.0013,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,51279,rbc,unspecified,rbc,mimiciv.hosp.labevents,m/uL,1.0,numeric,2.0403,3.1714,5.2275,475843,36201,0.9962,measurement/complete_blood_count.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51277,rdw,unspecified,rdw,mimiciv.hosp.labevents,%,1.0,numeric,11.9942,15.2017,24.9771,475837,36201,0.9962,measurement/complete_blood_count.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
eicu,Scores|Sedation Scale/Score/Goal|Sedation Goal,sedation_goal,unspecified,sedation_goal,eicu.nurseCharting,,0.0,numeric,-5.0,0.0,0.0062,413729,12139,0.1101,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Sedation Scale/Score/Goal|Sedation Scale,sedation_scale,unspecified,sedation_scale,eicu.nurseCharting,,0.0,categorical,,,,1122451,29209,0.2649,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Scores|Sedation Scale/Score/Goal|Sedation Score,sedation_score,unspecified,sedation_score,eicu.nurseCharting,,0.0,numeric,-5.0,0.0,4.0,1105241,28695,0.2603,pivoted/pivoted-score.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|SV|SV,sv,unspecified,sv,eicu.nurseCharting,,0.0,numeric,0.0504,57.7519,126.9668,33547,1061,0.0096,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|SV|SV,sv,unspecified,sv,eicu.nurseCharting,,0.0,numeric,27.0354,61.5026,128.9792,12148,1307,0.0119,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,SVO2|SVO2|SVO2,svo2,unspecified,svo2,eicu.nurseCharting,,0.0,numeric,32.3948,64.8495,90.7613,61493,1311,0.0119,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|SVO2|SVO2,svo2,unspecified,svo2,eicu.nurseCharting,,0.0,numeric,22.1194,57.288,87.7265,5730,438,0.004,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|SVO2|SVO2,svo2,unspecified,svo2,eicu.nurseCharting,,0.0,numeric,34.3188,62.9009,87.6409,3869,454,0.0041,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|SVR|SVR,svr,unspecified,svr,eicu.nurseCharting,,0.0,numeric,383.5343,999.7765,2565.4657,77829,3255,0.0295,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|SVR|SVR,svr,unspecified,svr,eicu.nurseCharting,,0.0,numeric,422.0067,937.7713,2236.7228,6213,877,0.008,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Invasive|SVRI|SVRI,svri,unspecified,svri,eicu.nurseCharting,,0.0,numeric,817.0882,2029.6388,4652.9225,21462,1131,0.0103,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
eicu,Vital Signs|SVRI|SVRI,svri,unspecified,svri,eicu.nurseCharting,,0.0,numeric,737.3813,1892.8435,4040.3537,5958,776,0.007,pivoted/pivoted-vital-other.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,224642,temperature_site,unspecified,temperature_site,mimiciv.icu.chartevents,,0.0,categorical,,,,1144011,36260,0.9978,measurement/vitalsign.sql,P1,mimic-iv,eicu+mimic-iii,,
eicu,Vital Signs|Temperature|Temperature Location,temperaturelocation,unspecified,temperaturelocation,eicu.nurseCharting,,0.0,categorical,1.0,1.0,103.0,2898825,85164,0.7724,pivoted/pivoted-vital.sql,P5,eicu,mimic-iii+mimic-iv,,
mimic-iv,51297,thrombin,unspecified,thrombin,mimiciv.hosp.labevents,sec,1.0,numeric,10.052,18.6563,150.0,307,267,0.0073,measurement/coagulation.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,50976,total_protein,unspecified,total_protein,mimiciv.hosp.labevents,g/dL,1.0,numeric,3.605,5.7417,8.3538,3742,2674,0.0736,measurement/chemistry.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iv,51003,troponin_t,unspecified,troponin_t,mimiciv.hosp.labevents,ng/mL,1.0,mixed,0.01,0.1757,11.0712,46160,16488,0.4537,measurement/cardiac_marker.sql,P1,mimic-iii+mimic-iv,eicu,,"[MIMIC-III 侧已由 itemid 同一性结构性补全, 仅需补 eicu]"
mimic-iii,50828,ventilator,unspecified,ventilator,mimiciii.LABEVENTS,,0.0,categorical,,,,40219,9534,0.4988,firstday/blood_gas_first_day.sql,P3,mimic-iii,eicu+mimic-iv,,
mimic-iii,50828,ventilator,unspecified,ventilator,mimiciii.LABEVENTS,,0.0,categorical,,,,40219,9534,0.4988,pivot/pivoted_bg.sql,P3,mimic-iii,eicu+mimic-iv,,
mimic-iv,223849,ventilator_mode,unspecified,ventilator_mode,mimiciv.icu.chartevents,,0.0,numeric,2.0,12.4098,57.5119,229772,12803,0.3523,measurement/ventilator_setting.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,229314,ventilator_mode_hamilton,unspecified,ventilator_mode_hamilton,mimiciv.icu.chartevents,,0.0,numeric,4.4034,9.0,13.6107,178477,7724,0.2125,measurement/ventilator_setting.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iv,223848,ventilator_type,unspecified,ventilator_type,mimiciv.icu.chartevents,,0.0,mixed,1.0,1.0,3.896,366137,18435,0.5073,measurement/ventilator_setting.sql,P1,mimic-iv,eicu+mimic-iii,,
mimic-iii,762,weight,unspecified,weight,mimiciii.CHARTEVENTS,kg,0.7477,mixed,42.3267,78.8358,159.4041,28884,18760,0.9816,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
mimic-iii,763,weight,unspecified,weight,mimiciii.CHARTEVENTS,kg,1.0,numeric,43.3304,82.8566,160.7859,33368,13686,0.7161,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
mimic-iii,226512,weight,unspecified,weight,mimiciii.CHARTEVENTS,kg,1.0,numeric,31.9,74.0,345.0,19,19,0.001,severityscores/sofa.sql,P1,mimic-iii,eicu+mimic-iv,,
