db,field_key,base_concept,method,concept_raw,src_table,unit_observed,unit_recovery_rate,dtype_inferred,p01,p50,p99,n_rows,n_keys,coverage,src_file,pattern
mimic-iv,223834,o2_flow,unspecified,o2_flow,mimiciv.icu.chartevents,L/min,1.0,numeric,1.0,4.0,57.9582,338199,28692,0.7895,measurement/oxygen_delivery.sql,P1
eicu,paCO2,pco2,unspecified,pco2,eicu.lab,mm Hg,1.0,numeric,20.8372,40.7146,95.0292,324889,58549,0.531,pivoted/pivoted-bg.sql,P4
mimic-iii,50818,pco2,unspecified,pco2,mimiciii.LABEVENTS,mm Hg,0.9999,numeric,23.959,40.0,77.685,253360,14987,0.7842,firstday/blood_gas_first_day.sql,P3
mimic-iii,50818,pco2,unspecified,pco2,mimiciii.LABEVENTS,mm Hg,0.9999,numeric,23.959,40.0,77.685,253360,14987,0.7842,pivot/pivoted_bg.sql,P3
mimic-iv,50818,pco2,unspecified,pco2,mimiciv.hosp.labevents,mm Hg,1.0,numeric,23.3508,40.9803,81.652,298835,26105,0.7184,measurement/bg.sql,P1
eicu,PEEP,peep,unspecified,peep,eicu.lab,cm H2O,1.0,numeric,3.2533,5.0,19.2835,90757,18491,0.1677,pivoted/pivoted-bg.sql,P4
mimic-iii,50819,peep,unspecified,peep,mimiciii.LABEVENTS,,0.0,numeric,1.4679,5.0,21.972,47609,6213,0.3251,firstday/blood_gas_first_day.sql,P3
mimic-iii,50819,peep,unspecified,peep,mimiciii.LABEVENTS,,0.0,numeric,1.4679,5.0,21.972,47609,6213,0.3251,pivot/pivoted_bg.sql,P3
mimic-iv,50819,peep,unspecified,peep,mimiciv.hosp.labevents,,0.0,numeric,0.3495,8.0,22.3011,32654,7483,0.2059,measurement/bg.sql,P1
mimic-iv,220339,peep,unspecified,peep,mimiciv.icu.chartevents,cmH2O,1.0,numeric,0.0,5.0,18.1914,407008,18503,0.5092,measurement/ventilator_setting.sql,P1
mimic-iv,224700,peep,unspecified,peep,mimiciv.icu.chartevents,cmH2O,1.0,numeric,4.9993,8.0,21.2517,122081,14513,0.3994,measurement/ventilator_setting.sql,P1
eicu,pH,ph,unspecified,ph,eicu.lab,,0.0,numeric,7.0473,7.3805,7.5621,322260,57966,0.5257,pivoted/pivoted-bg.sql,P4
mimic-iii,50820,ph,unspecified,ph,mimiciii.LABEVENTS,units,0.9999,numeric,7.1453,7.3982,7.536,275962,15442,0.808,firstday/blood_gas_first_day.sql,P3
mimic-iii,50820,ph,unspecified,ph,mimiciii.LABEVENTS,units,0.9999,numeric,7.1453,7.3982,7.536,275962,15442,0.808,pivot/pivoted_bg.sql,P3
mimic-iv,50820,ph,unspecified,ph,mimiciv.hosp.labevents,units,1.0,numeric,7.1113,7.385,7.5414,320795,26738,0.7358,measurement/bg.sql,P1
eicu,platelets x 1000,platelets,unspecified,platelets,eicu.lab,K/mcL,1.0,numeric,22.0151,194.1101,614.3356,809530,108465,0.9837,pivoted/pivoted-lab.sql,P4
eicu,platelets x 1000,platelets,unspecified,platelets,eicu.lab,K/mcL,1.0,numeric,22.0151,194.1101,614.3356,809530,108465,0.9837,concepts/labsfirstday.sql,P4
mimic-iii,51265,platelets,unspecified,platelets,mimiciii.LABEVENTS,K/uL,0.9999,numeric,20.75,209.2022,759.8632,246006,18876,0.9877,firstday/labs_first_day.sql,P3
mimic-iii,51265,platelets,unspecified,platelets,mimiciii.LABEVENTS,K/uL,0.9999,numeric,20.75,209.2022,759.8632,246006,18876,0.9877,pivot/pivoted_lab.sql,P3
mimic-iv,51265,platelets,unspecified,platelets,mimiciv.hosp.labevents,K/uL,1.0,numeric,15.6695,192.3568,697.6281,485164,36202,0.9962,measurement/complete_blood_count.sql,P1
eicu,paO2,po2,unspecified,po2,eicu.lab,mm Hg,1.0,numeric,36.0044,96.1547,486.0152,328557,59148,0.5365,pivoted/pivoted-bg.sql,P4
mimic-iii,50821,po2,unspecified,po2,mimiciii.LABEVENTS,mm Hg,0.9999,numeric,32.512,111.5229,465.4954,253363,14988,0.7842,firstday/blood_gas_first_day.sql,P3
mimic-iii,50821,po2,unspecified,po2,mimiciii.LABEVENTS,mm Hg,0.9999,numeric,32.512,111.5229,465.4954,253363,14988,0.7842,pivot/pivoted_bg.sql,P3
mimic-iv,50821,po2,unspecified,po2,mimiciv.hosp.labevents,mm Hg,1.0,numeric,29.2346,103.3243,450.9593,298962,26108,0.7184,measurement/bg.sql,P1
eicu,potassium,potassium,unspecified,potassium,eicu.lab,mmol/L,1.0,numeric,2.7566,3.9997,6.0829,1065018,108812,0.9869,pivoted/pivoted-lab.sql,P4
eicu,potassium,potassium,unspecified,potassium,eicu.lab,mmol/L,1.0,numeric,2.7566,3.9997,6.0829,1065018,108812,0.9869,concepts/labsfirstday.sql,P4
mimic-iii,50822,potassium,unspecified,potassium,mimiciii.LABEVENTS,mEq/L,1.0,numeric,2.8603,4.1,6.4853,106969,12573,0.6579,firstday/blood_gas_first_day.sql,P3
mimic-iii,50822,potassium,unspecified,potassium,mimiciii.LABEVENTS,mEq/L,1.0,numeric,2.8603,4.1,6.4853,106969,12573,0.6579,firstday/labs_first_day.sql,P3
mimic-iii,50971,potassium,unspecified,potassium,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,2.9094,4.0093,6.0143,269392,18865,0.9871,firstday/labs_first_day.sql,P3
mimic-iii,50822,potassium,unspecified,potassium,mimiciii.LABEVENTS,mEq/L,1.0,numeric,2.8603,4.1,6.4853,106969,12573,0.6579,pivot/pivoted_bg.sql,P3
mimic-iii,50822,potassium,unspecified,potassium,mimiciii.LABEVENTS,mEq/L,1.0,numeric,2.8603,4.1,6.4853,106969,12573,0.6579,pivot/pivoted_lab.sql,P3
mimic-iii,50971,potassium,unspecified,potassium,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,2.9094,4.0093,6.0143,269392,18865,0.9871,pivot/pivoted_lab.sql,P3
mimic-iv,50822,potassium,unspecified,potassium,mimiciv.hosp.labevents,mEq/L,1.0,numeric,2.8174,4.1,6.4814,112379,17573,0.4836,measurement/bg.sql,P1
mimic-iv,50971,potassium,unspecified,potassium,mimiciv.hosp.labevents,mEq/L,1.0,numeric,2.9754,4.0877,5.9721,545228,36218,0.9966,measurement/chemistry.sql,P1
eicu,PT,pt,unspecified,pt,eicu.lab,sec,1.0,numeric,10.0624,15.5228,58.5596,275975,78537,0.7123,concepts/labsfirstday.sql,P4
mimic-iii,51274,pt,unspecified,pt,mimiciii.LABEVENTS,sec,0.9999,numeric,11.3595,14.151,37.9495,162797,18329,0.959,firstday/labs_first_day.sql,P3
mimic-iii,51274,pt,unspecified,pt,mimiciii.LABEVENTS,sec,0.9999,numeric,11.3595,14.151,37.9495,162797,18329,0.959,pivot/pivoted_lab.sql,P3
mimic-iv,51274,pt,unspecified,pt,mimiciv.hosp.labevents,sec,1.0,numeric,10.2948,14.318,49.601,291808,34390,0.9463,measurement/coagulation.sql,P1
eicu,PTT,ptt,unspecified,ptt,eicu.lab,sec,1.0,numeric,21.4065,37.1388,147.7286,207733,62738,0.569,pivoted/pivoted-lab.sql,P4
eicu,PTT,ptt,unspecified,ptt,eicu.lab,sec,1.0,numeric,21.4065,37.1388,147.7286,207733,62738,0.569,concepts/labsfirstday.sql,P4
mimic-iii,51275,ptt,unspecified,ptt,mimiciii.LABEVENTS,sec,0.9999,numeric,21.0658,34.5991,150.0,176157,18288,0.9569,firstday/labs_first_day.sql,P3
mimic-iii,51275,ptt,unspecified,ptt,mimiciii.LABEVENTS,sec,0.9999,numeric,21.0658,34.5991,150.0,176157,18288,0.9569,pivot/pivoted_lab.sql,P3
mimic-iv,51275,ptt,unspecified,ptt,mimiciv.hosp.labevents,sec,1.0,numeric,21.8782,35.2411,150.0,321337,34274,0.9431,measurement/coagulation.sql,P1
eicu,Vital Signs|Respiratory Rate|Respiratory Rate,respiratory_rate,unspecified,respiratory_rate,eicu.nurseCharting,,0.0,numeric,8.5324,19.0,38.6526,11914385,99733,0.9046,pivoted/pivoted-vital.sql,P5
mimic-iii,50827,respiratory_rate,set,respiratory_rate_set,mimiciii.LABEVENTS,,0.0,categorical,,,,52471,8290,0.4338,firstday/blood_gas_first_day.sql,P3
mimic-iii,615,respiratory_rate,unspecified,respiratory_rate,mimiciii.CHARTEVENTS,BPM,0.9893,numeric,8.6671,20.0,37.612,301373,10987,0.5749,firstday/vitals_first_day.sql,P2
mimic-iii,618,respiratory_rate,unspecified,respiratory_rate,mimiciii.CHARTEVENTS,BPM,1.0,numeric,7.8177,19.6875,37.7512,2408175,18803,0.9838,firstday/vitals_first_day.sql,P2
mimic-iii,220210,respiratory_rate,unspecified,respiratory_rate,mimiciii.CHARTEVENTS,insp/min,1.0,numeric,9.0,20.0,40.782,2659,13,0.0007,firstday/vitals_first_day.sql,P2
mimic-iii,224690,respiratory_rate,unspecified,respiratory_rate,mimiciii.CHARTEVENTS,insp/min,1.0,numeric,11.42,23.0,42.16,192,10,0.0005,firstday/vitals_first_day.sql,P2
mimic-iii,50827,respiratory_rate,set,respiratory_rate_set,mimiciii.LABEVENTS,,0.0,categorical,,,,52471,8290,0.4338,pivot/pivoted_bg.sql,P3
mimic-iii,615,respiratory_rate,unspecified,respiratory_rate,mimiciii.CHARTEVENTS,BPM,0.9893,numeric,8.6671,20.0,37.612,301373,10987,0.5749,pivot/pivoted_vital.sql,P1
mimic-iii,618,respiratory_rate,unspecified,respiratory_rate,mimiciii.CHARTEVENTS,BPM,1.0,numeric,7.8177,19.6875,37.7512,2408175,18803,0.9838,pivot/pivoted_vital.sql,P1
mimic-iii,220210,respiratory_rate,unspecified,respiratory_rate,mimiciii.CHARTEVENTS,insp/min,1.0,numeric,9.0,20.0,40.782,2659,13,0.0007,pivot/pivoted_vital.sql,P1
mimic-iii,224690,respiratory_rate,unspecified,respiratory_rate,mimiciii.CHARTEVENTS,insp/min,1.0,numeric,11.42,23.0,42.16,192,10,0.0005,pivot/pivoted_vital.sql,P1
mimic-iv,224688,respiratory_rate,set,respiratory_rate_set,mimiciv.icu.chartevents,insp/min,1.0,numeric,6.2135,18.0,34.7526,216448,17518,0.4821,measurement/ventilator_setting.sql,P1
mimic-iv,224690,respiratory_rate,total,respiratory_rate_total,mimiciv.icu.chartevents,insp/min,1.0,numeric,8.9994,20.6372,37.8789,358253,18338,0.5046,measurement/ventilator_setting.sql,P1
mimic-iv,224689,respiratory_rate,spontaneous,respiratory_rate_spontaneous,mimiciv.icu.chartevents,insp/min,1.0,numeric,0.0,9.1335,36.6942,375569,18348,0.5049,measurement/ventilator_setting.sql,P1
mimic-iv,220210,respiratory_rate,unspecified,respiratory_rate,mimiciv.icu.chartevents,insp/min,1.0,numeric,8.0762,19.5389,36.7446,3891517,36307,0.9991,measurement/vitalsign.sql,P1
mimic-iv,224690,respiratory_rate,unspecified,respiratory_rate,mimiciv.icu.chartevents,insp/min,1.0,numeric,8.9994,20.6372,37.8789,358253,18338,0.5046,measurement/vitalsign.sql,P1
eicu,Vital Signs|Non-Invasive BP|Non-Invasive BP Systolic,sbp,noninvasive,sbp_noninvasive,eicu.nurseCharting,,0.0,numeric,75.9669,120.8976,186.8126,9992195,101825,0.9235,pivoted/pivoted-vital.sql,P5
eicu,Vital Signs|Invasive BP|Invasive BP Systolic,sbp,invasive,sbp_invasive,eicu.nurseCharting,,0.0,numeric,71.0943,119.7567,190.4254,2592192,29473,0.2673,pivoted/pivoted-vital.sql,P5
mimic-iii,51,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,0.9963,numeric,69.2983,120.5858,189.8377,1578805,12836,0.6716,firstday/vitals_first_day.sql,P2
mimic-iii,442,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,0.9088,mixed,69.6121,120.5458,189.2413,1754,434,0.0227,firstday/vitals_first_day.sql,P2
mimic-iii,455,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,0.9982,numeric,75.3966,118.9683,181.2962,1050200,18324,0.9588,firstday/vitals_first_day.sql,P2
mimic-iii,6701,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,0.9811,numeric,50.9037,108.6144,180.9568,15175,375,0.0196,firstday/vitals_first_day.sql,P2
mimic-iii,220179,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,77.873,125.0435,187.6825,1527,14,0.0007,firstday/vitals_first_day.sql,P2
mimic-iii,220050,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,70.2756,132.1667,208.3111,1242,7,0.0004,firstday/vitals_first_day.sql,P2
mimic-iii,51,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,0.9963,numeric,69.2983,120.5858,189.8377,1578805,12836,0.6716,pivot/pivoted_vital.sql,P1
mimic-iii,442,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,0.9088,mixed,69.6121,120.5458,189.2413,1754,434,0.0227,pivot/pivoted_vital.sql,P1
mimic-iii,455,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,0.9982,numeric,75.3966,118.9683,181.2962,1050200,18324,0.9588,pivot/pivoted_vital.sql,P1
mimic-iii,6701,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,0.9811,numeric,50.9037,108.6144,180.9568,15175,375,0.0196,pivot/pivoted_vital.sql,P1
mimic-iii,220179,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,77.873,125.0435,187.6825,1527,14,0.0007,pivot/pivoted_vital.sql,P1
mimic-iii,220050,sbp,unspecified,sbp,mimiciii.CHARTEVENTS,mmHg,1.0,numeric,70.2756,132.1667,208.3111,1242,7,0.0004,pivot/pivoted_vital.sql,P1
mimic-iv,220179,sbp,unspecified,sbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,77.8832,118.6456,178.5178,2318386,36011,0.9909,measurement/vitalsign.sql,P1
mimic-iv,220050,sbp,unspecified,sbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,74.3972,117.4358,184.0858,1526547,17610,0.4846,measurement/vitalsign.sql,P1
mimic-iv,225309,sbp,unspecified,sbp,mimiciv.icu.chartevents,mmHg,1.0,numeric,65.5376,112.1252,180.9812,186034,3309,0.0911,measurement/vitalsign.sql,P1
mimic-iv,220179,sbp,noninvasive,sbp_ni,mimiciv.icu.chartevents,mmHg,1.0,numeric,77.8832,118.6456,178.5178,2318386,36011,0.9909,measurement/vitalsign.sql,P1
eicu,sodium,sodium,unspecified,sodium,eicu.lab,mmol/L,1.0,numeric,121.8855,138.8239,155.3377,991978,109166,0.9901,pivoted/pivoted-lab.sql,P4
eicu,sodium,sodium,unspecified,sodium,eicu.lab,mmol/L,1.0,numeric,121.8855,138.8239,155.3377,991978,109166,0.9901,concepts/labsfirstday.sql,P4
mimic-iii,50824,sodium,unspecified,sodium,mimiciii.LABEVENTS,mEq/L,1.0,numeric,124.8915,137.0,150.1363,34565,10235,0.5355,firstday/blood_gas_first_day.sql,P3
mimic-iii,50824,sodium,unspecified,sodium,mimiciii.LABEVENTS,mEq/L,1.0,numeric,124.8915,137.0,150.1363,34565,10235,0.5355,firstday/labs_first_day.sql,P3
mimic-iii,50983,sodium,unspecified,sodium,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,125.9601,139.0,151.7003,251898,18858,0.9867,firstday/labs_first_day.sql,P3
mimic-iii,50824,sodium,unspecified,sodium,mimiciii.LABEVENTS,mEq/L,1.0,numeric,124.8915,137.0,150.1363,34565,10235,0.5355,pivot/pivoted_bg.sql,P3
mimic-iii,50824,sodium,unspecified,sodium,mimiciii.LABEVENTS,mEq/L,1.0,numeric,124.8915,137.0,150.1363,34565,10235,0.5355,pivot/pivoted_lab.sql,P3
mimic-iii,50983,sodium,unspecified,sodium,mimiciii.LABEVENTS,mEq/L,0.9999,numeric,125.9601,139.0,151.7003,251898,18858,0.9867,pivot/pivoted_lab.sql,P3
mimic-iv,50824,sodium,unspecified,sodium,mimiciv.hosp.labevents,mEq/L,1.0,numeric,114.5935,136.0,157.148,53714,14947,0.4113,measurement/bg.sql,P1
mimic-iv,50983,sodium,unspecified,sodium,mimiciv.hosp.labevents,mEq/L,1.0,numeric,125.0425,138.6111,154.2462,541967,36218,0.9966,measurement/chemistry.sql,P1
eicu,Vital Signs|O2 Saturation|O2 Saturation,spo2,unspecified,spo2,eicu.nurseCharting,,0.0,numeric,86.3225,97.0,100.0,10590118,92423,0.8383,pivoted/pivoted-vital.sql,P5
mimic-iii,646,spo2,unspecified,spo2,mimiciii.CHARTEVENTS,%,1.0,numeric,87.2615,98.0,100.0,2439167,18814,0.9844,firstday/vitals_first_day.sql,P2
mimic-iii,220277,spo2,unspecified,spo2,mimiciii.CHARTEVENTS,%,1.0,numeric,86.0,98.0,100.0,2737,13,0.0007,firstday/vitals_first_day.sql,P2
mimic-iii,646,spo2,unspecified,spo2,mimiciii.CHARTEVENTS,%,1.0,numeric,87.2615,98.0,100.0,2439167,18814,0.9844,pivot/pivoted_vital.sql,P1
mimic-iii,220277,spo2,unspecified,spo2,mimiciii.CHARTEVENTS,%,1.0,numeric,86.0,98.0,100.0,2737,13,0.0007,pivot/pivoted_vital.sql,P1
mimic-iv,220277,spo2,unspecified,spo2,mimiciv.icu.chartevents,%,1.0,numeric,87.4732,97.0,100.0,3870472,36331,0.9998,measurement/vitalsign.sql,P1
eicu,Vital Signs|Temperature|Temperature (C),temperature,unspecified,temperature,eicu.nurseCharting,,0.0,numeric,34.1314,36.9,39.2333,4591818,106510,0.966,pivoted/pivoted-vital.sql,P5
mimic-iii,50825,temperature,unspecified,temperature,mimiciii.LABEVENTS,,0.0,numeric,34.9363,37.231,39.4875,72009,8959,0.4688,firstday/blood_gas_first_day.sql,P3
mimic-iii,223761,temperature,unspecified,temperature,mimiciii.CHARTEVENTS,?F,1.0,numeric,95.8,98.9302,102.736,582,12,0.0006,firstday/vitals_first_day.sql,P2
mimic-iii,678,temperature,unspecified,temperature,mimiciii.CHARTEVENTS,Deg. F,0.9995,numeric,95.1193,98.7111,102.6414,544102,18432,0.9644,firstday/vitals_first_day.sql,P2
mimic-iii,223762,temperature,unspecified,temperature,mimiciii.CHARTEVENTS,?C,1.0,numeric,33.7,38.9444,41.654,196,2,0.0001,firstday/vitals_first_day.sql,P2
mimic-iii,676,temperature,unspecified,temperature,mimiciii.CHARTEVENTS,Deg. C,0.9863,numeric,34.8576,37.2,38.936,304958,6465,0.3383,firstday/vitals_first_day.sql,P2
mimic-iii,50825,temperature,unspecified,temperature,mimiciii.LABEVENTS,,0.0,numeric,34.9363,37.231,39.4875,72009,8959,0.4688,pivot/pivoted_bg.sql,P3
mimic-iii,223761,temperature,unspecified,temperature,mimiciii.CHARTEVENTS,?F,1.0,numeric,95.8,98.9302,102.736,582,12,0.0006,pivot/pivoted_vital.sql,P1
mimic-iii,678,temperature,unspecified,temperature,mimiciii.CHARTEVENTS,Deg. F,0.9995,numeric,95.1193,98.7111,102.6414,544102,18432,0.9644,pivot/pivoted_vital.sql,P1
mimic-iv,50825,temperature,unspecified,temperature,mimiciv.hosp.labevents,,0.0,mixed,33.7245,37.0,39.3628,55536,11210,0.3085,measurement/bg.sql,P1
eicu,WBC x 1000,wbc,unspecified,wbc,eicu.lab,K/mcL,1.0,numeric,1.7849,10.1944,35.9186,798155,108901,0.9877,pivoted/pivoted-lab.sql,P4
eicu,WBC x 1000,wbc,unspecified,wbc,eicu.lab,K/mcL,1.0,numeric,1.7849,10.1944,35.9186,798155,108901,0.9877,concepts/labsfirstday.sql,P4
mimic-iii,51300,wbc,unspecified,wbc,mimiciii.LABEVENTS,K/uL,1.0,numeric,1.316,8.0438,35.64,266,182,0.0095,firstday/labs_first_day.sql,P3
mimic-iii,51301,wbc,unspecified,wbc,mimiciii.LABEVENTS,K/uL,0.9999,numeric,1.0638,10.5046,35.3234,235183,18869,0.9873,firstday/labs_first_day.sql,P3
mimic-iii,51300,wbc,unspecified,wbc,mimiciii.LABEVENTS,K/uL,1.0,numeric,1.316,8.0438,35.64,266,182,0.0095,pivot/pivoted_lab.sql,P3
mimic-iii,51301,wbc,unspecified,wbc,mimiciii.LABEVENTS,K/uL,0.9999,numeric,1.0638,10.5046,35.3234,235183,18869,0.9873,pivot/pivoted_lab.sql,P3
mimic-iv,51300,wbc,unspecified,wbc,mimiciv.hosp.labevents,K/uL,1.0,numeric,0.533,7.0188,35.436,283,247,0.0068,measurement/blood_differential.sql,P1
mimic-iv,51301,wbc,unspecified,wbc,mimiciv.hosp.labevents,K/uL,1.0,numeric,0.7495,10.0514,38.0509,476740,36201,0.9962,measurement/blood_differential.sql,P1
mimic-iv,51301,wbc,unspecified,wbc,mimiciv.hosp.labevents,K/uL,1.0,numeric,0.7495,10.0514,38.0509,476740,36201,0.9962,measurement/complete_blood_count.sql,P1
