base_concept,group,db,field_key,method,src_table,unit_observed,p01,p50,p99,n_rows,evidence,src_file
hospital_los,demographic,mimic-iii,ADMISSIONS(DIS-ADM),unspecified,table_column,,,,,,explicit table column,
hospital_los,demographic,eicu,patient.hospitaldischargeoffset,unspecified,table_column,,,,,,explicit table column,
alkaline_phosphatase,lab,mimic-iii,50863,unspecified,mimiciii.LABEVENTS,IU/L,34.433,104.8288,875.1485,53913,structural: shared lab itemid space (label identical); LOINC=6768-6,bridge: m3_d_labitems x m4_d_labitems
alt,lab,mimic-iii,50861,unspecified,mimiciii.LABEVENTS,IU/L,5.7437,39.6408,3500.6495,55411,structural: shared lab itemid space (label identical); LOINC=1742-6,bridge: m3_d_labitems x m4_d_labitems
ast,lab,mimic-iii,50878,unspecified,mimiciii.LABEVENTS,IU/L,9.7788,46.4633,4719.4349,55368,structural: shared lab itemid space (label identical); LOINC=1920-8,bridge: m3_d_labitems x m4_d_labitems
amylase,lab,mimic-iii,50867,unspecified,mimiciii.LABEVENTS,IU/L,10.5269,63.6602,936.1793,27861,structural: shared lab itemid space (label identical); LOINC=1798-8,bridge: m3_d_labitems x m4_d_labitems
atypical_lymphocytes,lab,mimic-iii,51143,unspecified,mimiciii.LABEVENTS,%,0.0,0.0,8.0769,12632,structural: shared lab itemid space (label identical); LOINC=733-6,bridge: m3_d_labitems x m4_d_labitems
basophils,lab,mimic-iii,51146,unspecified,mimiciii.LABEVENTS,%,0.0,0.1929,1.9509,34927,structural: shared lab itemid space (label identical); LOINC=704-7,bridge: m3_d_labitems x m4_d_labitems
bilirubin_direct,lab,mimic-iii,50883,unspecified,mimiciii.LABEVENTS,mg/dL,0.1,1.6077,27.4899,4864,structural: shared lab itemid space (label identical); LOINC=1968-7,bridge: m3_d_labitems x m4_d_labitems
bilirubin_indirect,lab,mimic-iii,50884,unspecified,mimiciii.LABEVENTS,mg/dL,0.1,1.0,13.7117,4584,structural: shared lab itemid space (label identical); LOINC=1971-1,bridge: m3_d_labitems x m4_d_labitems
ck_cpk,lab,mimic-iii,50910,unspecified,mimiciii.LABEVENTS,IU/L,11.335,145.4779,14465.0489,45392,structural: shared lab itemid space (label identical); LOINC=2157-6,bridge: m3_d_labitems x m4_d_labitems
ck_mb,lab,mimic-iii,50911,unspecified,mimiciii.LABEVENTS,ng/mL,1.0,7.0041,378.0287,41559,structural: shared lab itemid space (label identical); LOINC=6773-6,bridge: m3_d_labitems x m4_d_labitems
crp,lab,mimic-iii,50889,unspecified,mimiciii.LABEVENTS,mg/L,0.1619,23.8601,279.6337,1083,structural: shared lab itemid space (label identical); LOINC=1988-5,bridge: m3_d_labitems x m4_d_labitems
d_dimer,lab,mimic-iii,51196,unspecified,mimiciii.LABEVENTS,ng/mL,199.1375,2706.8541,9945.8955,2302,structural: shared lab itemid space (label identical); LOINC=48065-7,bridge: m3_d_labitems x m4_d_labitems
eosinophils,lab,mimic-iii,51200,unspecified,mimiciii.LABEVENTS,%,0.0,0.7603,11.4929,34929,structural: shared lab itemid space (label identical); LOINC=711-2,bridge: m3_d_labitems x m4_d_labitems
fibrinogen,lab,mimic-iii,51214,unspecified,mimiciii.LABEVENTS,mg/dL,73.4,261.1798,918.2124,18997,structural: shared lab itemid space (label identical); LOINC=3255-7,bridge: m3_d_labitems x m4_d_labitems
ggt,lab,mimic-iii,50927,unspecified,mimiciii.LABEVENTS,IU/L,13.14,217.0156,1970.3601,564,structural: shared lab itemid space (label identical); LOINC=2324-2,bridge: m3_d_labitems x m4_d_labitems
globulin,lab,mimic-iii,50930,unspecified,mimiciii.LABEVENTS,g/dL,1.3907,2.7661,5.5738,721,structural: shared lab itemid space (label identical); LOINC=2336-6,bridge: m3_d_labitems x m4_d_labitems
granulocytes_abs,lab,mimic-iii,51218,unspecified,mimiciii.LABEVENTS,#/uL,0.288,410.768,20556.0612,3296,structural: shared lab itemid space (label identical); LOINC=30394-1,bridge: m3_d_labitems x m4_d_labitems
ld_ldh,lab,mimic-iii,50954,unspecified,mimiciii.LABEVENTS,IU/L,112.3535,291.8598,5440.7066,28471,structural: shared lab itemid space (label identical); LOINC=2532-0,bridge: m3_d_labitems x m4_d_labitems
lymphocytes,lab,mimic-iii,51244,unspecified,mimiciii.LABEVENTS,%,0.4259,10.4127,58.0572,34931,structural: shared lab itemid space (label identical); LOINC=731-0,bridge: m3_d_labitems x m4_d_labitems
lymphocytes,lab,mimic-iii,51245,unspecified,mimiciii.LABEVENTS,%,0.234,10.0,52.15,267,structural: shared lab itemid space (label identical); LOINC=26478-8,bridge: m3_d_labitems x m4_d_labitems
lymphocytes_abs,lab,mimic-iii,51133,unspecified,mimiciii.LABEVENTS,#/uL,33.38,764.875,3792.3701,267,structural: shared lab itemid space (label identical); LOINC=26474-7,bridge: m3_d_labitems x m4_d_labitems
mch,lab,mimic-iii,51248,unspecified,mimiciii.LABEVENTS,pg,23.648,30.338,36.0624,232672,structural: shared lab itemid space (label identical); LOINC=785-6,bridge: m3_d_labitems x m4_d_labitems
mchc,lab,mimic-iii,51249,unspecified,mimiciii.LABEVENTS,%,30.0293,33.8424,37.023,232735,structural: shared lab itemid space (label identical); LOINC=786-4,bridge: m3_d_labitems x m4_d_labitems
mcv,lab,mimic-iii,51250,unspecified,mimiciii.LABEVENTS,fL,74.4216,89.2047,106.9812,232672,structural: shared lab itemid space (label identical); LOINC=787-2,bridge: m3_d_labitems x m4_d_labitems
metamyelocytes,lab,mimic-iii,51251,unspecified,mimiciii.LABEVENTS,%,0.0,0.0,10.5115,12653,structural: shared lab itemid space (label identical); LOINC=28541-1,bridge: m3_d_labitems x m4_d_labitems
monocytes,lab,mimic-iii,51254,unspecified,mimiciii.LABEVENTS,%,0.0,4.1738,20.947,34931,structural: shared lab itemid space (label identical); LOINC=742-7,bridge: m3_d_labitems x m4_d_labitems
neutrophils,lab,mimic-iii,51256,unspecified,mimiciii.LABEVENTS,%,9.3856,79.9244,96.3017,34931,structural: shared lab itemid space (label identical); LOINC=761-7,bridge: m3_d_labitems x m4_d_labitems
nrbc,lab,mimic-iii,51257,unspecified,mimiciii.LABEVENTS,%,0.9891,2.0,139.4401,2170,structural: shared lab itemid space (label identical); LOINC=772-4,bridge: m3_d_labitems x m4_d_labitems
ntprobnp,lab,mimic-iii,50963,unspecified,mimiciii.LABEVENTS,pg/mL,51.9667,4220.2074,56902.8637,1007,structural: shared lab itemid space (label identical); LOINC=33762-6,bridge: m3_d_labitems x m4_d_labitems
rbc,lab,mimic-iii,51279,unspecified,mimiciii.LABEVENTS,m/uL,2.271,3.4082,5.1359,232673,structural: shared lab itemid space (label identical); LOINC=789-8,bridge: m3_d_labitems x m4_d_labitems
rdw,lab,mimic-iii,51277,unspecified,mimiciii.LABEVENTS,%,12.2247,14.9812,23.0568,231898,structural: shared lab itemid space (label identical); LOINC=788-0,bridge: m3_d_labitems x m4_d_labitems
thrombin,lab,mimic-iii,51297,unspecified,mimiciii.LABEVENTS,sec,13.787,26.0667,150.0,191,structural: shared lab itemid space (label identical); LOINC=3243-3,bridge: m3_d_labitems x m4_d_labitems
total_protein,lab,mimic-iii,50976,unspecified,mimiciii.LABEVENTS,g/dL,3.4972,5.798,8.6228,1737,structural: shared lab itemid space (label identical); LOINC=2885-2,bridge: m3_d_labitems x m4_d_labitems
troponin_t,lab,mimic-iii,51003,unspecified,mimiciii.LABEVENTS,ng/mL,0.01,0.1525,12.2261,26391,structural: shared lab itemid space (label identical); LOINC=6598-7,bridge: m3_d_labitems x m4_d_labitems
rbc,lab,eicu,RBC,measured,eicu.infusionDrug,,,,,1,adjudicated:both_agree,eicu_00
mcv,lab,eicu,MCV,measured,eicu.lab,fL,71.5968,90.2449,107.7318,777310,adjudicated:both_agree,eicu_00
mchc,lab,eicu,MCHC,measured,eicu.lab,g/dL,28.9306,32.9789,36.0306,776967,adjudicated:both_agree,eicu_00
mch,lab,eicu,MCH,measured,eicu.lab,pg,22.0838,29.8448,35.9007,742184,adjudicated:both_agree,eicu_00
rdw,lab,eicu,RDW,measured,eicu.lab,%,12.1876,15.1877,24.8535,740729,adjudicated:both_agree,eicu_00
lymphocytes,lab,eicu,-lymphs,measured,eicu.lab,%,0.9999,11.2622,50.5874,441455,adjudicated:both_agree,eicu_00
monocytes,lab,eicu,-monos,measured,eicu.lab,%,0.704,7.6031,19.5925,438053,adjudicated:both_agree,eicu_00
eosinophils,lab,eicu,-eos,measured,eicu.lab,%,0.0,1.0,10.5117,409984,adjudicated:both_agree,eicu_00
basophils,lab,eicu,-basos,measured,eicu.lab,%,0.0,0.0368,1.9639,392183,adjudicated:both_agree,eicu_00
neutrophils,lab,eicu,-polys,measured,eicu.lab,%,15.8337,76.8981,95.8455,390987,adjudicated:both_agree,eicu_00
ast,lab,eicu,AST (SGOT),measured,eicu.lab,Units/L,7.9908,31.3706,2294.6243,306669,adjudicated:both_agree,eicu_00
alt,lab,eicu,ALT (SGPT),measured,eicu.lab,Units/L,6.2226,28.9845,1782.6067,304916,adjudicated:both_agree,eicu_00
total_protein,lab,eicu,total protein,measured,eicu.lab,g/dL,3.6802,5.9893,8.6301,303629,adjudicated:both_agree,eicu_00
alkaline_phosphatase,lab,eicu,alkaline phos.,measured,eicu.lab,Units/L,30.8721,86.3236,603.8065,303220,adjudicated:both_agree,eicu_00
fio2,respiratory_bloodgas,eicu,FiO2,unspecified,eicu.lab,%,0.2915,40.4836,100.0,278442,adjudicated:both_agree,eicu_00
so2,respiratory_bloodgas,eicu,O2 Sat (%),measured,eicu.lab,%,59.8722,97.0,100.0,263112,adjudicated:both_agree,eicu_00
temperature,vital,eicu,Temperature,measured,eicu.lab,&#176;C,33.7327,37.0,99.9595,89756,adjudicated:both_agree,eicu_00
methemoglobin,respiratory_bloodgas,eicu,Methemoglobin,measured,eicu.lab,%,0.0,0.4,2.1401,81439,adjudicated:both_agree,eicu_00
carboxyhemoglobin,respiratory_bloodgas,eicu,Carboxyhemoglobin,measured,eicu.lab,%,0.0,0.9994,4.1684,80148,adjudicated:both_agree,eicu_00
ck_cpk,lab,eicu,CPK,measured,eicu.lab,Units/L,13.6406,159.0656,25066.2151,78079,adjudicated:both_agree,eicu_00
tidal_volume,respiratory_bloodgas,eicu,TV,unspecified,eicu.lab,mls,219.1683,500.0,780.8053,76097,adjudicated:both_agree,eicu_00
bilirubin_direct,lab,eicu,direct bilirubin,measured,eicu.lab,mg/dL,0.0,0.3013,17.7435,56325,adjudicated:both_agree,eicu_00
base_deficit,respiratory_bloodgas,eicu,Base Deficit,measured,eicu.lab,mEq/L,0.0,3.7029,21.7074,53951,adjudicated:both_agree,eicu_00
ck_mb,lab,eicu,CPK-MB,measured,eicu.lab,ng/mL,0.5016,4.581,353.062,47760,adjudicated:both_agree,eicu_00
respiratory_rate,vital,eicu,Vent Rate,set,eicu.lab,/min,5.4801,16.0,436.7647,45578,adjudicated:both_agree,eicu_00
respiratory_rate,vital,eicu,Respiratory Rate,measured,eicu.lab,/min,6.2699,18.0,38.7102,37222,adjudicated:both_agree,eicu_00
fibrinogen,lab,eicu,fibrinogen,measured,eicu.lab,mg/dL,67.4447,282.8996,862.9118,30440,adjudicated:both_agree,eicu_00
troponin_t,lab,eicu,troponin - T,measured,eicu.lab,ng/mL,0.01,0.1239,10.5155,25260,adjudicated:both_agree,eicu_00
o2_flow,respiratory_bloodgas,eicu,LPM O2,unspecified,eicu.lab,L/min,0.995,4.0,73.6829,21824,adjudicated:both_agree,eicu_00
ld_ldh,lab,eicu,LDH,measured,eicu.lab,Units/L,106.9609,288.722,4061.4264,15949,adjudicated:both_agree,eicu_00
amylase,lab,eicu,amylase,measured,eicu.lab,Units/L,9.8451,56.0867,1115.5898,11996,adjudicated:both_agree,eicu_00
mbp,vital,eicu,Vital Signs|Non-Invasive BP|Non-Invasive BP Mean,noninvasive,eicu.nurseCharting,,48.3898,79.8312,128.3062,8408076,adjudicated:both_agree,eicu_00
temperature,vital,eicu,Vital Signs|Temperature|Temperature (F),measured,eicu.nurseCharting,,93.4436,98.4,102.6064,4591595,adjudicated:both_agree,eicu_00
temperaturelocation,vital,eicu,Vital Signs|Temperature|Temperature Location,unspecified,eicu.nurseCharting,,1.0,1.0,103.0,2898825,adjudicated:both_agree,eicu_00
gcs,unassigned,eicu,Scores|Glasgow coma score|GCS Total,unspecified,eicu.nurseCharting,,3.0,14.0198,15.0,2363928,adjudicated:both_agree,eicu_00
mbp,vital,eicu,Vital Signs|Invasive BP|Invasive BP Mean,invasive,eicu.nurseCharting,,48.2233,77.2888,129.4355,2182995,adjudicated:both_agree,eicu_00
gcs_eyes,vital,eicu,Scores|Glasgow coma score|Eyes,unspecified,eicu.nurseCharting,,1.0,4.0,4.0,1996612,adjudicated:both_agree,eicu_00
gcs_motor,vital,eicu,Scores|Glasgow coma score|Motor,unspecified,eicu.nurseCharting,,1.0,6.0,6.0,1994837,adjudicated:both_agree,eicu_00
gcs_verbal,vital,eicu,Scores|Glasgow coma score|Verbal,unspecified,eicu.nurseCharting,,1.0,4.9997,5.0,1990208,adjudicated:both_agree,eicu_00
pain_score,vital,eicu,Scores|Pain Score/Goal|Pain Score,unspecified,eicu.nurseCharting,,-0.3421,0.0,10.0,1734121,adjudicated:both_agree,eicu_00
sedation_scale,vital,eicu,Scores|Sedation Scale/Score/Goal|Sedation Scale,unspecified,eicu.nurseCharting,,,,,1122451,adjudicated:both_agree,eicu_00
sedation_score,vital,eicu,Scores|Sedation Scale/Score/Goal|Sedation Score,unspecified,eicu.nurseCharting,,-5.0,0.0,4.0,1105241,adjudicated:both_agree,eicu_00
o2_device,respiratory_bloodgas,eicu,Vital Signs|O2 Admin Device|O2 Admin Device,unspecified,eicu.nurseCharting,,0.344,95.0238,100.0,975703,adjudicated:both_agree,eicu_00
glucose,lab,eicu,Vital Signs and Infusions|Bedside Glucose|Bedside Glucose,bedside,eicu.nurseCharting,,61.1991,136.4404,374.6108,870001,adjudicated:both_agree,eicu_00
heart_rate,vital,eicu,Other Vital Signs and Infusions|Pulse|Value,measured,eicu.nurseCharting,,48.1158,84.2214,137.8362,803286,adjudicated:both_agree,eicu_00
pain_goal,vital,eicu,Scores|Pain Score/Goal|Pain Goal,unspecified,eicu.nurseCharting,,0.0,0.0,5.0374,690965,adjudicated:both_agree,eicu_00
sedation_goal,vital,eicu,Scores|Sedation Scale/Score/Goal|Sedation Goal,unspecified,eicu.nurseCharting,,-5.0,0.0,0.0062,413729,adjudicated:both_agree,eicu_00
gcs_motor,vital,eicu,Other Vital Signs and Infusions|Best Motor Response|Value,unspecified,eicu.nurseCharting,,1.0,6.0,6.0,343941,adjudicated:both_agree,eicu_00
gcs_verbal,vital,eicu,Other Vital Signs and Infusions|Best Verbal Response|Value,unspecified,eicu.nurseCharting,,1.0,4.0,5.0,343683,adjudicated:both_agree,eicu_00
gcs_eyes,vital,eicu,Other Vital Signs and Infusions|Best Eye Response|Value,unspecified,eicu.nurseCharting,,1.0,4.0,4.0,299727,adjudicated:both_agree,eicu_00
pain_goal,vital,eicu,Other Vital Signs and Infusions|Patient s Comfort/Function (Pain) GOAL At Rest|Value,unspecified,eicu.nurseCharting,,0.0,2.0,7.8428,262992,adjudicated:both_agree,eicu_00
delirium_score,vital,eicu,Scores|Delirium Scale/Score|Delirium Score,unspecified,eicu.nurseCharting,,0.0,0.0,7.0,220689,adjudicated:both_agree,eicu_00
delirium_scale,vital,eicu,Scores|Delirium Scale/Score|Delirium Scale,unspecified,eicu.nurseCharting,,,,,220630,adjudicated:both_agree,eicu_00
gcs_eyes,vital,eicu,Other Vital Signs and Infusions|Eye Opening|Value,unspecified,eicu.nurseCharting,,1.0,4.0,4.0,188944,adjudicated:both_agree,eicu_00
gcs_motor,vital,eicu,Other Vital Signs and Infusions|Motor Response|Value,unspecified,eicu.nurseCharting,,1.0,6.0,6.0,158513,adjudicated:both_agree,eicu_00
gcs_verbal,vital,eicu,Other Vital Signs and Infusions|Verbal Response|Value,unspecified,eicu.nurseCharting,,1.0,5.0,5.0,158496,adjudicated:both_agree,eicu_00
fio2,respiratory_bloodgas,eicu,respFlowSettings|FiO2,set,eicu.respiratoryCharting,,20.658,40.0,100.0,2304713,adjudicated:both_agree,eicu_00
respiratory_rate,vital,eicu,respFlowPtVentData|RR (patient),measured,eicu.respiratoryCharting,,2.6881,19.0,37.0898,1736597,adjudicated:both_agree,eicu_00
peep,respiratory_bloodgas,eicu,respFlowSettings|PEEP,set,eicu.respiratoryCharting,,1.1227,5.0,16.0874,1198212,adjudicated:both_agree,eicu_00
respiratory_rate,vital,eicu,respFlowPtVentData|Total RR,measured,eicu.respiratoryCharting,,9.9995,18.6727,38.0525,970136,adjudicated:both_agree,eicu_00
respiratory_rate,vital,eicu,respFlowSettings|Vent Rate,set,eicu.respiratoryCharting,,1.3848,15.9999,34.641,923783,adjudicated:both_agree,eicu_00
tidal_volume,respiratory_bloodgas,eicu,respFlowSettings|Tidal Volume (set),set,eicu.respiratoryCharting,,3.4297,497.8677,721.6141,858278,adjudicated:both_agree,eicu_00
o2_flow,respiratory_bloodgas,eicu,respFlowSettings|LPM O2,set,eicu.respiratoryCharting,,0.0,3.0,59.0801,678041,adjudicated:both_agree,eicu_00
minute_volume,respiratory_bloodgas,eicu,respFlowPtVentData|Exhaled MV,measured,eicu.respiratoryCharting,,4.0096,9.6466,589.7777,443278,adjudicated:both_agree,eicu_00
tidal_volume,respiratory_bloodgas,eicu,respFlowPtVentData|Exhaled TV (patient),measured,eicu.respiratoryCharting,,0.3958,500.0286,1010.6798,360218,adjudicated:both_agree,eicu_00
tidal_volume,respiratory_bloodgas,eicu,respFlowPtVentData|Exhaled TV (machine),measured,eicu.respiratoryCharting,,36.6892,488.7201,952.2631,357188,adjudicated:both_agree,eicu_00
spo2,vital,eicu,respFlowPtVentData|SaO2,noninvasive,eicu.respiratoryCharting,,87.3148,97.0,100.0,311461,adjudicated:adjudicated,eicu_00
plateau_pressure,respiratory_bloodgas,eicu,respFlowPtVentData|Plateau Pressure,measured,eicu.respiratoryCharting,,0.0,19.9458,38.9282,275644,adjudicated:both_agree,eicu_01
mbp,vital,eicu,noninvasivemean,noninvasive,eicu.vitalAperiodic,,46.2183,79.3182,131.7907,16955382,adjudicated:both_agree,eicu_01
dbp,vital,eicu,noninvasivediastolic,noninvasive,eicu.vitalAperiodic,,33.0312,63.5837,111.8053,16864898,adjudicated:both_agree,eicu_01
sbp,vital,eicu,noninvasivesystolic,noninvasive,eicu.vitalAperiodic,,72.2348,119.0556,186.1577,16863126,adjudicated:both_agree,eicu_01
heart_rate,vital,eicu,heartrate,measured,eicu.vitalPeriodic,,49.9157,84.3658,132.9247,111948231,adjudicated:both_agree,eicu_01
spo2,vital,eicu,sao2,noninvasive,eicu.vitalPeriodic,,86.1596,97.0,100.0,102444806,adjudicated:both_agree,eicu_01
respiratory_rate,vital,eicu,respiration,measured,eicu.vitalPeriodic,,2.958,19.1434,40.044,98620481,adjudicated:both_agree,eicu_01
mbp,vital,eicu,systemicmean,invasive,eicu.vitalPeriodic,,49.059,77.9652,136.3896,22354840,adjudicated:both_agree,eicu_01
sbp,vital,eicu,systemicsystolic,invasive,eicu.vitalPeriodic,,71.128,120.8,191.0455,22178536,adjudicated:both_agree,eicu_01
dbp,vital,eicu,systemicdiastolic,invasive,eicu.vitalPeriodic,,33.1266,57.9995,103.0329,22177450,adjudicated:both_agree,eicu_01
temperature,vital,eicu,temperature,measured,eicu.vitalPeriodic,,33.0673,37.2986,99.7915,10833234,adjudicated:both_agree,eicu_01
etco2,vital,eicu,etco2,measured,eicu.vitalPeriodic,,0.0,31.9736,58.3131,3733640,adjudicated:both_agree,eicu_01
pamean,vital,eicu,pamean,invasive,eicu.vitalPeriodic,,9.9677,25.7658,54.8122,3339927,adjudicated:both_agree,eicu_01
pasystolic,vital,eicu,pasystolic,invasive,eicu.vitalPeriodic,,16.3022,35.9999,80.6913,3318020,adjudicated:both_agree,eicu_01
padiastolic,vital,eicu,padiastolic,invasive,eicu.vitalPeriodic,,4.8705,18.4753,41.2838,3317674,adjudicated:both_agree,eicu_01
mbp,vital,mimic-iii,52,invasive,mimiciii.CHARTEVENTS,mmHg,49.7153,79.0756,131.5674,1561213,adjudicated:both_agree,mimiciii_00
ectopy_frequency,vital,mimic-iii,159,unspecified,mimiciii.CHARTEVENTS,,,,,1786561,adjudicated:both_agree,mimiciii_00
ectopy_type,vital,mimic-iii,161,unspecified,mimiciii.CHARTEVENTS,,,,,2299521,adjudicated:both_agree,mimiciii_00
gcs_eyes,vital,mimic-iii,184,unspecified,mimiciii.CHARTEVENTS,,1.0,4.0,4.0,690169,adjudicated:both_agree,mimiciii_00
fio2,respiratory_bloodgas,mimic-iii,190,set,mimiciii.CHARTEVENTS,torr,0.3,0.5,1.0,410870,adjudicated:both_agree,mimiciii_00
gcs,unassigned,mimic-iii,198,unspecified,mimiciii.CHARTEVENTS,points,3.0,11.0,15.0,683960,adjudicated:both_agree,mimiciii_00
minute_volume,respiratory_bloodgas,mimic-iii,450,measured,mimiciii.CHARTEVENTS,L/min,4.5559,9.9403,20.0732,293413,adjudicated:both_agree,mimiciii_00
gcs_motor,vital,mimic-iii,454,unspecified,mimiciii.CHARTEVENTS,,1.0,6.0,6.0,687159,adjudicated:both_agree,mimiciii_00
mbp,vital,mimic-iii,456,noninvasive,mimiciii.CHARTEVENTS,mmHg,47.1444,76.3734,119.7659,1033353,adjudicated:both_agree,mimiciii_00
o2_device,respiratory_bloodgas,mimic-iii,467,unspecified,mimiciii.CHARTEVENTS,,,,,334549,adjudicated:both_agree,mimiciii_00
o2_flow,respiratory_bloodgas,mimic-iii,470,unspecified,mimiciii.CHARTEVENTS,lpm,0.3261,4.0,15.0,266948,adjudicated:both_agree,mimiciii_00
pasystolic,vital,mimic-iii,492,invasive,mimiciii.CHARTEVENTS,mmHg,17.62,38.8815,78.6677,394098,adjudicated:both_agree,mimiciii_00
peep,respiratory_bloodgas,mimic-iii,506,set,mimiciii.CHARTEVENTS,cmH2O,0.0001,5.0,19.7112,309416,adjudicated:both_agree,mimiciii_00
weight,vital,mimic-iii,581,measured,mimiciii.CHARTEVENTS,kg,43.2429,82.3012,162.7503,1169677,adjudicated:both_agree,mimiciii_00
temperature_site,vital,mimic-iii,674,unspecified,mimiciii.CHARTEVENTS,,,,,763488,adjudicated:both_agree,mimiciii_00
temperature,vital,mimic-iii,677,measured,mimiciii.CHARTEVENTS,Deg. C,35.0841,37.0539,39.2464,542931,adjudicated:both_agree,mimiciii_00
temperature,vital,mimic-iii,679,measured,mimiciii.CHARTEVENTS,Deg. F,94.761,98.96,102.0799,303263,adjudicated:both_agree,mimiciii_00
ventilator_mode,respiratory_bloodgas,mimic-iii,720,set,mimiciii.CHARTEVENTS,,,,,304291,adjudicated:both_agree,mimiciii_00
ventilator_type,respiratory_bloodgas,mimic-iii,722,unspecified,mimiciii.CHARTEVENTS,,,,,352664,adjudicated:both_agree,mimiciii_00
gcs_verbal,vital,mimic-iii,723,unspecified,mimiciii.CHARTEVENTS,,1.0,1.1829,5.0,688803,adjudicated:both_agree,mimiciii_00
sedation_score,vital,mimic-iii,1337,unspecified,mimiciii.CHARTEVENTS,,,,,766018,adjudicated:adjudicated,mimiciii_00
padiastolic,vital,mimic-iii,8448,invasive,mimiciii.CHARTEVENTS,mmHg,6.0356,20.0,38.8915,389331,adjudicated:both_agree,mimiciii_00
co,vital,mimic-iii,90,invasive,mimiciii.CHARTEVENTS,L/min,2.5942,5.3844,12.7692,138738,adjudicated:both_agree,mimiciii_01
ci,vital,mimic-iii,116,invasive,mimiciii.CHARTEVENTS,...,1.462,2.7097,6.0972,169451,adjudicated:both_agree,mimiciii_01
pamean,vital,mimic-iii,491,invasive,mimiciii.CHARTEVENTS,mmHg,13.2339,29.9994,54.9196,198550,adjudicated:both_agree,mimiciii_01
pain_score,vital,mimic-iii,524,unspecified,mimiciii.CHARTEVENTS,,,,,102445,adjudicated:both_agree,mimiciii_01
plateau_pressure,respiratory_bloodgas,mimic-iii,543,measured,mimiciii.CHARTEVENTS,cmH2O,7.7737,21.9962,40.7634,130060,adjudicated:both_agree,mimiciii_01
weight,vital,mimic-iii,580,unspecified,mimiciii.CHARTEVENTS,kg,30.025,82.1252,167.1026,105280,adjudicated:both_agree,mimiciii_01
respiratory_rate,vital,mimic-iii,614,measured,mimiciii.CHARTEVENTS,BPM,0.0,0.0,24.1832,174057,adjudicated:both_agree,mimiciii_01
respiratory_rate,vital,mimic-iii,619,set,mimiciii.CHARTEVENTS,BPM,0.0,14.6475,34.2548,185121,adjudicated:both_agree,mimiciii_01
svr,vital,mimic-iii,626,invasive,mimiciii.CHARTEVENTS,...,349.3374,927.6851,2193.4919,160167,adjudicated:both_agree,mimiciii_01
svri,vital,mimic-iii,627,invasive,mimiciii.CHARTEVENTS,...,725.0315,1822.1766,3823.2425,153897,adjudicated:both_agree,mimiciii_01
sv,vital,mimic-iii,662,invasive,mimiciii.CHARTEVENTS,ml,27.3483,61.9044,155.152,134495,adjudicated:both_agree,mimiciii_01
svo2,respiratory_bloodgas,mimic-iii,664,invasive,mimiciii.CHARTEVENTS,%,46.6581,68.9507,88.391,122224,adjudicated:both_agree,mimiciii_01
tidal_volume,respiratory_bloodgas,mimic-iii,682,measured,mimiciii.CHARTEVENTS,ml/B,297.5849,551.0058,884.3475,182416,adjudicated:both_agree,mimiciii_01
tidal_volume,respiratory_bloodgas,mimic-iii,683,set,mimiciii.CHARTEVENTS,ml/B,0.6847,550.0,807.7366,169707,adjudicated:both_agree,mimiciii_01
tidal_volume,respiratory_bloodgas,mimic-iii,684,measured,mimiciii.CHARTEVENTS,ml/B,0.0,470.1777,952.1233,141135,adjudicated:both_agree,mimiciii_01
base_excess,respiratory_bloodgas,mimic-iii,776,unspecified,mimiciii.CHARTEVENTS,,-12.7808,0.0,12.39,201038,adjudicated:both_agree,mimiciii_01
bicarbonate,lab,mimic-iii,777,unspecified,mimiciii.CHARTEVENTS,,13.4412,25.8027,41.409,209248,adjudicated:both_agree,mimiciii_01
pco2,respiratory_bloodgas,mimic-iii,778,unspecified,mimiciii.CHARTEVENTS,mmHg,23.971,40.0,73.2138,212489,adjudicated:both_agree,mimiciii_01
po2,respiratory_bloodgas,mimic-iii,779,unspecified,mimiciii.CHARTEVENTS,mmHg,52.6298,111.9826,433.1613,212200,adjudicated:both_agree,mimiciii_01
ph,respiratory_bloodgas,mimic-iii,780,unspecified,mimiciii.CHARTEVENTS,,7.1591,7.4,7.5359,212989,adjudicated:both_agree,mimiciii_01
bun,lab,mimic-iii,781,unspecified,mimiciii.CHARTEVENTS,,4.2979,22.8075,121.2545,134580,adjudicated:both_agree,mimiciii_01
calcium,lab,mimic-iii,786,unspecified,mimiciii.CHARTEVENTS,mg/dl,6.3625,8.2835,10.5715,106221,adjudicated:both_agree,mimiciii_01
bicarbonate,lab,mimic-iii,787,unspecified,mimiciii.CHARTEVENTS,,12.6083,24.327,37.6207,132971,adjudicated:both_agree,mimiciii_01
chloride,lab,mimic-iii,788,unspecified,mimiciii.CHARTEVENTS,,89.9491,105.237,120.6378,133215,adjudicated:both_agree,mimiciii_01
creatinine,lab,mimic-iii,791,unspecified,mimiciii.CHARTEVENTS,,0.2989,0.9,7.6685,135261,adjudicated:both_agree,mimiciii_01
hematocrit,lab,mimic-iii,813,unspecified,mimiciii.CHARTEVENTS,%,20.114,29.9441,43.5249,195490,adjudicated:both_agree,mimiciii_01
hemoglobin,lab,mimic-iii,814,unspecified,mimiciii.CHARTEVENTS,gm/dl,7.0563,10.2181,14.9725,131293,adjudicated:both_agree,mimiciii_01
